OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BISONSAT,2015-058L,2026-05-14T20:20:55.360608,15.15490203,.00787242,64.7593,281.3675,61.5534,299.3493,0,U,40974,999,11056,.37828859E-3,.7577E-4,0
SNAP-3 JIMI,2015-058M,2026-05-14T23:13:10.924320,15.01944647,.01050023,64.7654,324.8494,69.1376,292.0947,0,U,40975,999,10923,.30032676E-3,.4252E-4,0
PROPCUBE 1 (FLORA),2015-058N,2026-05-14T08:21:25.749216,14.89021352,.01296135,64.7748,40.0954,74.1879,287.3478,0,U,40976,999,11122,.19291856E-3,.1954E-4,0
SINOD-D 3,2015-058P,2026-05-14T16:51:07.810272,14.93748257,.0118114,64.7741,20.3614,71.5111,289.8796,0,U,40977,999,10975,.2384076E-3,.2726E-4,0
HORYU-4,2016-012D,2026-05-14T19:51:52.372800,15.78477287,.0005199,30.9889,320.3702,40.9689,319.1358,0,U,41340,999,56551,.72841598E-3,.13415E-2,0
RAVAN,2016-067B,2026-05-14T12:54:50.829984,15.51497027,.00072248,97.9944,20.3090,115.7611,244.4386,0,U,41849,999,52247,.49624481E-3,.29312E-3,0
CELTEE 1,2016-067C,2026-05-14T13:21:22.118400,15.19334146,.00017016,98.0719,358.8321,58.0784,302.0614,0,U,41850,999,52077,.16825414E-3,.3477E-4,0
OPTICUBE 04,2016-067D,2026-05-14T12:56:10.844160,15.09509776,.00145279,98.0734,345.0648,228.1137,131.8852,0,U,41851,999,52009,.95706238E-4,.1466E-4,0
AEROCUBE 8D,2016-067E,2026-05-14T14:34:32.352960,15.23905183,.00020372,98.0730,2.2303,237.2066,122.8973,0,U,41852,999,52095,.19369744E-3,.4596E-4,0
AEROCUBE 8C,2016-067F,2026-05-14T13:43:41.302848,15.24142803,.00056702,98.0601,359.4640,161.6580,198.4861,0,U,41853,999,52094,.20596661E-3,.493E-4,0
CORVUS BC2,2017-042X,2026-05-14T17:04:32.283264,15.06073140,.00120659,97.4039,297.3753,221.1701,138.8617,0,U,42846,999,48202,.1450606E-3,.2062E-4,0
CORVUS BC1,2017-042Y,2026-05-14T17:02:15.160416,15.06244587,.00114662,97.4069,298.1661,194.7341,165.3554,0,U,42847,999,48205,.13899E-3,.1982E-4,0
MAKERSAT 0,2017-073D,2026-05-14T09:32:58.941024,15.30619591,.01114445,97.4682,16.6839,34.1652,326.6695,0,U,43016,999,46129,.50690833E-3,.1813E-3,0
SIRION PATHFINDER-2,2018-099B,2026-05-14T22:41:59.803584,15.14228119,.00101438,97.4280,184.7968,62.0264,298.1993,0,U,43759,999,40759,.1997426E-3,.3588E-4,0
CORVUS BC4,2018-099K,2026-05-14T13:50:34.250784,15.12207411,.00100163,97.4096,178.5437,113.8766,246.3516,0,U,43767,999,40732,.15340974E-3,.2588E-4,0
M2 PATHFINDER,2020-037E,2026-05-14T12:41:01.773600,15.04524288,.00100212,97.8164,325.3840,266.1865,93.8215,0,U,45727,999,32043,.11279705E-3,.1517E-4,0
NETSAT-4,2020-068U,2026-05-14T23:48:17.336448,15.42712052,.00076084,97.8612,140.5965,85.0076,275.2039,0,U,46504,999,31065,.25798064E-3,.11178E-3,0
NETSAT-3,2020-068V,2026-05-14T21:46:23.329344,15.41482043,.0007523,97.8662,138.7651,98.0690,262.1409,0,U,46505,999,31055,.27854754E-3,.1159E-3,0
NETSAT-1,2020-068W,2026-05-13T23:00:39.099168,15.33779633,.0006813,97.8748,132.4691,119.6117,240.5803,0,U,46506,999,31005,.27422E-3,.8878E-4,0
NETSAT-2,2020-068X,2026-05-13T23:20:47.031648,15.44502126,.00062183,97.8631,139.2762,108.8781,251.3141,0,U,46507,999,31045,.34199964E-3,.15779E-3,0
GREENCUBE (IO-117),2022-080E,2026-05-14T09:52:07.467456,6.42583317,.0008807,70.1435,309.9963,297.4178,62.5586,0,U,53109,999,8989,0,-.3E-7,0
SITRO-AIS 5 (KATYS),2023-091L,2026-05-14T22:56:29.823072,15.28651473,.00109137,97.5083,198.5569,212.2625,147.7948,0,U,57176,999,15926,.27313825E-3,.7547E-4,0
SITRO-AIS 6 (CHIRKIN),2023-091AC,2026-05-14T22:12:31.282848,15.25268007,.00110401,97.5091,197.8177,215.8564,144.1934,0,U,57192,999,15921,.22355574E-3,.5558E-4,0
SITRO-AIS 8 (ANOKHIN),2023-091AD,2026-05-14T23:08:17.247264,15.31188135,.00102195,97.5078,200.0228,207.5082,152.5619,0,U,57193,999,15936,.28396903E-3,.8489E-4,0
SITRO-AIS 7 (FARTUSHNIY),2023-091AE,2026-05-14T22:07:30.706752,15.24973252,.0010859,97.5087,197.6559,216.9779,143.0711,0,U,57194,999,15920,.22068685E-3,.5437E-4,0
